amenity,denomination,name,religion,id,lon,lat
place_of_worship,anglican,Saint Marks Church,christian,13886722,151.2364037,-33.8747343
place_of_worship,seventh_day_adventist,Adventist Church,christian,17029183,152.8977718,-31.4668789
place_of_worship,anglican,St. Mark's Anglican Church,christian,18467512,151.2475637,-33.9622516
place_of_worship,catholic,St. Andrew's Catholic Church,christian,18468950,151.2469505,-33.9635141
place_of_worship,presbyterian,Randwick Presbyterian Church,christian,18556475,151.2394733,-33.9125937
place_of_worship,catholic,St Vincent de Paul Catholic Church,christian,18825536,151.2026012,-33.8927173
place_of_worship,uniting,Shirley Road Church,christian,19966739,151.1993296,-33.8281884
place_of_worship,presbyterian,Hunter Baillie Memorial Presbyterian Church,christian,20152887,151.16932,-33.8832554
place_of_worship,catholic,St. Brendan's Catholic Church,christian,20152891,151.1699321,-33.883931
place_of_worship,protestant,Martin Luther Kirche,christian,20930158,151.2096358,-33.8783236
place_of_worship,presbyterian,St. George's Presbyterian Church,christian,20930445,151.2089287,-33.8740842
place_of_worship,baptist,Central Baptist Church,christian,20930512,151.20537,-33.878106
place_of_worship,catholic,St. Peter Julian's Catholic Church,christian,20930515,151.2053089,-33.8786618
place_of_worship,uniting,Uniting Church In Australia,christian,20958866,151.1971858,-33.8769383
place_of_worship,baptist,Katoomba Baptist Church,christian,20973509,150.3101414,-33.7173103
place_of_worship,salvation_army,Salvation Army,christian,20973510,150.3095348,-33.7172474
place_of_worship,uniting,Uniting Church,christian,20973524,150.3115906,-33.7152214
place_of_worship,anglican,St Hilda's Anglican Church,christian,20973546,150.3120196,-33.7136275
place_of_worship,uniting,Leura Uniting Church,christian,20976831,150.3327052,-33.7141898
place_of_worship,anglican,St Alban's Anglican Church,christian,20976838,150.3316211,-33.7144353
place_of_worship,baptist,Baptist Church,christian,20977083,150.3310505,-33.711081899999996
place_of_worship,uniting,Chapel By The Sea,christian,20979931,151.2741279,-33.8902645
place_of_worship,presbyterian,Presbyterian Worship & Ministry Centre,christian,21279653,151.2646782,-27.179586
place_of_worship,lutheran,St Mark's Lutheran Church,christian,21293323,151.2630536,-27.1806284
place_of_worship,anglican,St John's Anglican Church,christian,21293834,151.263347,-27.1841782
place_of_worship,catholic,St Thomas More's Catholic Church,christian,21321702,151.9630522,-27.5803912
place_of_worship,assemblies_of_god,Christian Life Assembly Church,christian,29186644,145.1464134,-37.8846976
place_of_worship,presbyterian,Scot's Presbyterian Church,christian,32661968,150.696012,-34.7773032
place_of_worship,catholic,St Josephs,christian,34051871,144.9439393,-37.7623609
place_of_worship,catholic,Holy Rosary Catholic Church,christian,41185323,115.8081847,-31.9835318
place_of_worship,presbyterian,Knox Presbyterian,christian,48674715,145.2337573,-37.8471823
place_of_worship,uniting,Tusmore Uniting Church,christian,57932628,138.6471047,-34.9332589
place_of_worship,catholic,Saint Mary Star of the Sea,christian,59900463,115.7658954,-31.9944755
place_of_worship,seventh_day_adventist,Wantirna Seventh-day Adventist Church,christian,60414305,145.2164778,-37.855273
